CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
50167097,CIELO NYC CORP,Queens,88-19,31 AVENUE,11369,9178537109,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.759877809136,-73.879912011209,403,25,033900,4624910,4013860035,QN28,POINT (-73.879912011209 40.759877809136)
50174186,BAR REVE,Brooklyn,222,SMITH STREET,11231,2678854720,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.684080511705,-73.992265999387,306,39,006900,3006512,3004080037,BK38,POINT (-73.992265999387 40.684080511705)
50179805,MILKWEED STUDIO NYC LLC,Manhattan,166,MOTT STREET,10013,9173120002,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.719803905322,-73.996165190564,102,01,004100,1006924,1004700009,MN24,POINT (-73.996165190564 40.719803905322)
40711561,MA SMITH'S DESSERT CAFE,Manhattan,2380,ADAM CLAYTON POWELL BOULEVARD,,2122342344,Bakery Products/Desserts,03/14/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,03/14/2023,12/12/2025,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50178474,SUGARDADDY'S GENTLEMEN'S CLUB,Queens,51-07,27 STREET,11101,7187069600,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.739672787152,-73.942792627254,402,26,000100,4000769,4001120001,QN31,POINT (-73.942792627254 40.739672787152)
50176498,RENAISSANCE TIMES SQUARE,Manhattan,714,7 AVENUE,10036,2032609260,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.759574523465,-73.984366401925,105,03,012500,1024757,1010197501,MN17,POINT (-73.984366401925 40.759574523465)
50167963,BROOKLYN DELI CB24/SHAKE SHACK CB26,Queens,,INTERNATIONAL AIRPORT,,7037745013,American,05/28/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,31,,,12/12/2025,Pre-permit (Operational) / Initial Inspection,,,,,,,,,
50156247,FLY PRIVATE SOCIAL,Brooklyn,240,DEKALB AVENUE,11205,9175658382,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.689470217754,-73.969580734495,302,35,019700,3059137,3021050030,BK69,POINT (-73.969580734495 40.689470217754)
50162726,LE BOTANISTE,Manhattan,11,PENN PLAZA,10001,3478044095,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.749394979358,-73.991774762274,105,03,010100,1015175,1008070001,MN17,POINT (-73.991774762274 40.749394979358)
50170657,SANDWELL,Manhattan,250,3 AVENUE,10010,2123217911,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.737221182338,-73.984328365197,106,02,005000,1017961,1008760033,MN21,POINT (-73.984328365197 40.737221182338)
50166521,FORTUNA,Manhattan,275,1 AVENUE,10003,8182620660,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.732472337326,-73.981616102436,106,02,004800,1020426,1009220025,MN21,POINT (-73.981616102436 40.732472337326)
50172034,THE GRANOLA BAR,Manhattan,330,MADISON AVENUE,10017,5166358818,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.753375976424,-73.97887080705,105,04,009400,1035348,1012770014,MN17,POINT (-73.97887080705 40.753375976424)
50172206,BAKE BLOOM INC.,Brooklyn,2273,MCDONALD AVENUE,11223,9292574281,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.596856728614,-73.973245561291,315,44,039800,3340302,3071240005,BK26,POINT (-73.973245561291 40.596856728614)
50151390,RAJEEV YERNENI,Brooklyn,87,35 STREET,11232,9174761920,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.656495580033,-74.006498188771,307,38,001800,3336900,3006870001,BK32,POINT (-74.006498188771 40.656495580033)
41701458,MINNOW,Queens,,LA GUARDIA AIRPORT,11369,9292496141,Japanese,03/08/2018,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,11,A,03/08/2018,12/12/2025,Cycle Inspection / Initial Inspection,40.774414029772,-73.877293351848,,,,,,,POINT (-73.877293351848 40.774414029772)
50172072,WAN HAO RESTAURANT INC,Queens,136-20,ROOSEVELT AVENUE,11354,6469125673,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.759777908235,-73.829235428489,407,20,085300,4113546,4050190005,QN22,POINT (-73.829235428489 40.759777908235)
50001854,DUNKIN,Manhattan,2264,FREDERICK DOUGLASS BOULEVARD,,6465978172,Donuts,02/02/2023,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,24,,,12/12/2025,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50124253,TACO VISTA (Governors Island),Manhattan,125,CARDER ROAD,10004,3476139130,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.691444266795,-74.012974367988,101,01,000500,1086418,1000010010,MN99,POINT (-74.012974367988 40.691444266795)
50141237,MANGIA FRESCO,Queens,65-30,KISSENA BOULEVARD,11367,9177741787,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.736699315322,-73.814702189285,408,24,080900,4141870,4065170001,QN37,POINT (-73.814702189285 40.736699315322)
50043712,EMPANADA LOCA,Brooklyn,606,5 AVENUE,11215,7183692118,Spanish,12/01/2022,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,25,B,12/01/2022,12/12/2025,Cycle Inspection / Re-inspection,40.663782791875,-73.990920281379,307,38,014300,3008910,3006280037,BK37,POINT (-73.990920281379 40.663782791875)
50166380,DUCK TANG INC.,Brooklyn,808,59 STREET,11220,9295428403,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.63578607764,-74.008503021587,312,43,010400,3140845,3057070010,BK34,POINT (-74.008503021587 40.63578607764)
50178912,OUR RIDGEWOOD INC,Staten Island,615,WILSON AVENUE,10312,3476776610,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.544662258673,-74.171749102246,503,51,017011,5075059,5056240050,SI01,POINT (-74.171749102246 40.544662258673)
50098716,EATALY NY LLC (KIOSK),Manhattan,999,BROADWAY,,3124685154,Pizza,06/15/2022,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,0,,,12/12/2025,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50150463,POPEYES,Staten Island,2323,FOREST AVENUE,10303,7034799469,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.627561241672,-74.167546545664,501,49,032300,5169467,5012700005,SI12,POINT (-74.167546545664 40.627561241672)
50179995,ROMAINE EMPIRE INC FARMER'S FRIDGE,Manhattan,1285,AVE OF TH AMER,,3122290099,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,0,0,,,,,1,,
50171364,MASSI'S,Queens,29-09,BROADWAY,11106,7189284541,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.762648342003,-73.926817212536,401,22,007500,4007470,4005880005,QN70,POINT (-73.926817212536 40.762648342003)
50161466,UNITED CHOCOLATE WORKS,Manhattan,1,HERALD SQUARE,10001,6462729081,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.750541907818,-73.987541021756,105,04,010900,1089436,1008100045,MN17,POINT (-73.987541021756 40.750541907818)
50171594,GOLDEN KRUST,Queens,,TERMINAL    8,,7186903530,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,,,,,,,,,
50173134,16 HANDLES,Brooklyn,300,COURT STREET,11231,7328560195,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.6839379416,-73.995146879965,306,39,006700,3004043,3003260062,BK33,POINT (-73.995146879965 40.6839379416)
50152665,NAPOLES,Queens,80-15,NORTHERN BOULEVARD,11372,7185658803,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.755389083024,-73.886994701009,403,25,030903,4026896,4011760038,QN28,POINT (-73.886994701009 40.755389083024)
50167279,NOONA NOODLES INC,Manhattan,46,WEST   36 STREET,10018,9176757234,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.750549918,-73.985624531752,105,04,008400,1015911,1008370071,MN17,POINT (-73.985624531752 40.750549918)
50165070,HIGHLIFE / EL CAMINO,Manhattan,135,1 AVENUE,10003,4342499930,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.727746367779,-73.98518569002,103,02,003800,1077695,1004500033,MN22,POINT (-73.98518569002 40.727746367779)
50179941,SUB01 FOOD CORP.,Brooklyn,1875,NOSTRAND AVENUE,11226,6319437290,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.639812338763,-73.948384250421,317,45,083000,3112333,3049640050,BK91,POINT (-73.948384250421 40.639812338763)
50172083,POLLO CAMPERO,0,800,,,9727702800,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,,,,,,,,,
50171220,JACKS CORNER,Queens,108-19,ROCKAWAY BEACH DRIVE,11694,3475266043,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.581373641921,-73.829916544475,414,32,093800,4303821,4161790001,QN10,POINT (-73.829916544475 40.581373641921)
50176124,ANEW CAFE & GOODS,Manhattan,526,HUDSON STREET,10014,9179575215,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.734021688288,-74.006235155306,102,03,007300,1011184,1006200004,MN23,POINT (-74.006235155306 40.734021688288)
41184659,LA CASA DEL MOFONGO,Manhattan,,SAINT NICHOLAS AVENUE,,2127401200,Latin American,03/10/2023,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,A,03/10/2023,12/12/2025,Cycle Inspection / Re-inspection,,,,,,,,,
50126865,NOTA BENE,Brooklyn,282,BRIGHTON BEACH AVENUE,11235,3472652566,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.576908016681,-73.964639292253,313,48,036001,3245053,3086850004,BK19,POINT (-73.964639292253 40.576908016681)
50164901,EL PIRATA STREET FOOD,Manhattan,111,WADSWORTH AVENUE,10033,16467375602,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.848202184109,-73.936138564881,112,10,026300,1079921,1021620001,MN36,POINT (-73.936138564881 40.848202184109)
50176328,3 LUIGIS PIZZERIA,Brooklyn,275,GRAND AVENUE,11238,3475029510,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.688123259564,-73.962741121417,302,35,023100,3055567,3019480001,BK69,POINT (-73.962741121417 40.688123259564)
50112612,PIXIE SCOUT CANTEEN,Manhattan,,BATTERY PARK THE BOSQUE AREA,,3472357158,American,07/17/2024,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,13,A,07/17/2024,12/12/2025,Cycle Inspection / Initial Inspection,,,,,,,,,
50176977,ZARA TERRACE,Manhattan,862,2 AVENUE,10017,7188203683,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.752460063335,-73.970262893814,106,04,009000,1038895,1013390001,MN19,POINT (-73.970262893814 40.752460063335)
50135575,YARD BAR,Brooklyn,273,PACIFIC STREET,11201,3475296622,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.688079457329,-73.989828005012,302,33,004300,3000825,3001810028,BK38,POINT (-73.989828005012 40.688079457329)
50174900,L'ORA DELLA PIZZA CORP,Manhattan,2166,FREDERICK DOUGLASS BOULEVARD,,9146356492,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,0,0,,,,,1,,
50138972,TACO CALLEJERO,Brooklyn,602,MARLBOROUGH ROAD,11226,3156646967,Mexican,04/20/2024,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,12/12/2025,Inter-Agency Task Force / Initial Inspection,40.635102549275,-73.963289661634,314,45,052000,3121147,3052350008,BK42,POINT (-73.963289661634 40.635102549275)
50166313,"BKCT, INC",Queens,135-20,ROOSEVELT AVENUE,11354,7187990402,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.759116853737,-73.831384888787,407,20,087100,4114113,4050360023,QN22,POINT (-73.831384888787 40.759116853737)
50111773,SOSA AND ZUCO LLC,Brooklyn,325,FRANKLIN AVENUE,11238,9176274174,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.688291458438,-73.957087095592,303,36,023300,3055808,3019540004,BK75,POINT (-73.957087095592 40.688291458438)
50163305,ACCENTURE WATER ST.,Manhattan,55,WATER STREET,10041,7043285184,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.703590200178,-74.009781245549,101,01,000900,1083346,1000327501,MN25,POINT (-74.009781245549 40.703590200178)
50172930,ROOM 52,Manhattan,212,EAST   52 STREET,10022,2013203048,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.756840453612,-73.969326057646,106,04,009800,1038485,1013250047,MN19,POINT (-73.969326057646 40.756840453612)
50165056,CHILL TAVERN BBQ,Queens,137-38,NORTHERN BOULEVARD,11354,6469079998,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.763517028584,-73.829742023143,407,20,086900,4112348,4049770035,QN22,POINT (-73.829742023143 40.763517028584)
50169900,LA SWEETS NY LLC,Manhattan,219,WEST  125 STREET,10027,6466213803,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.809299213066,-73.949086771674,110,09,022200,1058658,1019310019,MN11,POINT (-73.949086771674 40.809299213066)
50169275,CANARSIE COFFEE SHOP CORP.,Brooklyn,10013,FOSTER AVENUE,11236,7189476329,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.649886691815,-73.903293626631,318,42,109800,3228737,3081330001,BK82,POINT (-73.903293626631 40.649886691815)
50160234,FIELD GUIDE,Brooklyn,235,KENT AVENUE,11249,9177572713,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.716642335803,-73.965629044792,301,33,055500,3062559,3023780002,BK73,POINT (-73.965629044792 40.716642335803)
41127647,BURRITO BAR,Brooklyn,,FLATBUSH AVENUE,,7182308646,Tex-Mex,12/04/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,31,,,12/12/2025,Cycle Inspection / Initial Inspection,,,,,,,,,
50141884,SUSHI OKU,Manhattan,22,ORCHARD STREET,10002,6469565535,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.715423012404,-73.991605820527,103,01,001600,1003841,1002980005,MN27,POINT (-73.991605820527 40.715423012404)
50176013,KINGS KITCHEN 58 INC.,Manhattan,58,MOTT STREET,10013,19179455892,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.715944812764,-73.998282913268,103,01,002900,1079425,1002010002,MN27,POINT (-73.998282913268 40.715944812764)
50175668,CHOCOLATE CONNECTS CI INC,Brooklyn,994,CONEY ISLAND AVENUE,11230,3474477033,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.633341555222,-73.967095236332,314,40,048200,3128003,3054250083,BK42,POINT (-73.967095236332 40.633341555222)
40553657,LENNY'S PIZZA,Brooklyn,594,5 AVENUE,11215,7187888928,Pizza,02/03/2022,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,0,A,02/03/2022,12/12/2025,Cycle Inspection / Re-inspection,40.664364639784,-73.990368709566,307,39,014100,3024140,3010520054,BK37,POINT (-73.990368709566 40.664364639784)
50177828,KITCHEN NEW DORP INC.,Staten Island,324A,NEW DORP LANE,,7187903222,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,0,0,,,,5057603,5042210042,,
50155794,CRAVE FISHBAR,Manhattan,1462,2 AVENUE,10075,5165031242,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.771619493888,-73.956289460929,108,05,013400,1045162,1014510004,MN31,POINT (-73.956289460929 40.771619493888)
50148270,NATURAL CARIBBEAN,Brooklyn,2123,CATON AVENUE,11226,5164482153,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.652791471847,-73.959737259455,314,40,050803,3397264,3050630058,BK42,POINT (-73.959737259455 40.652791471847)
50168119,EUGENE O'NEILL THEATRE,Manhattan,230,WEST   49 STREET,10019,9142154090,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.761048562752,-73.985149376286,105,03,012500,1024783,1010200053,MN17,POINT (-73.985149376286 40.761048562752)
50117580,FAT FOWL,Brooklyn,445,ALBEE SQUARE WEST,11201,3472622577,Caribbean,06/07/2025,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,12/12/2025,Inter-Agency Task Force / Initial Inspection,40.690826232689,-73.98345224546,302,33,001500,3397861,3001497501,BK38,POINT (-73.98345224546 40.690826232689)
50162886,FRESHII,Queens,,LGA AIRPORT,,9173282791,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,,,,,,,,,
50179939,Gotham City Billiards,Brooklyn,93,AVENUE U,11223,3478825862,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.596130894421,-73.980908413859,311,43,040200,3190965,3070960045,BK29,POINT (-73.980908413859 40.596130894421)
50175003,10:am Breakfast Bar,Brooklyn,3808,13 AVENUE,11218,3474520405,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.641069223185,-73.985839181811,312,39,022600,3123144,3052940036,BK88,POINT (-73.985839181811 40.641069223185)
50168175,LUKA'S JOY,Manhattan,11,WEST   32 STREET,10001,6465771074,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.747407223937,-73.986090778063,105,04,007600,1015850,1008340033,MN17,POINT (-73.986090778063 40.747407223937)
41327917,PIER 66 MARITIME,Manhattan,,12 AVENUE,,2129896363,American,08/24/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,08/24/2022,12/12/2025,Cycle Inspection / Initial Inspection,,,,,,,,,
50149948,BURGERHEAD,Manhattan,353,6 AVENUE,10014,9176039000,Sandwiches,10/19/2024,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,12/12/2025,Inter-Agency Task Force / Initial Inspection,40.732009942765,-74.000743288811,102,03,007100,1010221,1005920022,MN23,POINT (-74.000743288811 40.732009942765)
50167128,EL PERRO,Queens,46-26,GREENPOINT AVENUE,11104,7864779221,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.742282131927,-73.918550352548,402,26,023500,4001558,4001530017,QN31,POINT (-73.918550352548 40.742282131927)
